"Relative Time","Hits"
"00:00","0"
"00:02","87.578"
"00:04","151.648"
"00:06","144.93"
"00:08","155.32"
"00:10","158.742"
"00:12","154.359"
"00:14","154.766"
"00:17","156.008"
"00:19","155.953"
"00:21","150.164"
"00:23","151.086"
"00:25","153.859"
"00:27","135.648"
"00:29","148.07"
"00:32","159.148"
"00:34","155.984"
"00:36","149.156"
"00:38","160.297"
"00:40","149.953"
"00:42","159.477"
"00:44","157.133"
"00:46","146.891"
"00:49","159.945"
"00:51","148.008"
"00:53","153.32"
"00:55","161.898"
"00:57","145.07"
"00:59","56.375"
"01:01","0.75"
