"Relative Time","Throughput"
"00:00","0"
"00:02","895493.4"
"00:04","1540678"
"00:06","1434627"
"00:08","1576620"
"00:10","1548083"
"00:12","1520023"
"00:14","1581107"
"00:17","1481271"
"00:19","1610503"
"00:21","1469637"
"00:23","1553557"
"00:25","1437748"
"00:27","1382644"
"00:29","1535874"
"00:32","1494801"
"00:34","1620985"
"00:36","1464566"
"00:38","1599571"
"00:40","1603716"
"00:42","1438447"
"00:44","1581011"
"00:46","1466703"
"00:49","1644869"
"00:51","1448923"
"00:53","1583286"
"00:55","1577179"
"00:57","1416005"
"00:59","562547.4"
"01:01","8059.5"
